model,seed,trial_number,params_json,status,tune_mse,tune_rmse,tune_mae,tune_mape,fit_seconds,predict_seconds,total_seconds,epochs_ran,best_epoch,error
arima,42,0,"{""d"": 1, ""p"": 1, ""q"": 2}",ok,296690.7681550208,544.6932789699363,451.8130695160775,14.854466801518884,0.3588745000306517,0.0,0.35894833295606077,0,0,
arima,42,1,"{""d"": 0, ""p"": 2, ""q"": 0}",ok,9790391.665888118,3128.960157286781,3049.4816975302206,95.23089730987631,0.0853289159713313,0.0,0.08538766705896705,0,0,
arima,42,2,"{""d"": 1, ""p"": 0, ""q"": 2}",ok,425960.750825198,652.6566868003407,556.5165013593121,16.594085609898222,0.16404604201670736,0.0,0.1641012909822166,0,0,
arima,42,3,"{""d"": 0, ""p"": 2, ""q"": 3}",ok,9025518.747416943,3004.250113991334,2915.495950366011,91.26088973112417,0.42798141692765057,0.0,0.42803858290426433,0,0,
sarima,42,0,"{""d"": 1, ""p"": 1, ""q"": 2, ""sd"": 0, ""seasonal_period"": 24, ""sp"": 1, ""sq"": 0}",ok,39484467.237534985,6283.66670325018,5968.260350996788,192.0571568547454,4.118096375023015,0.0,4.118188500055112,0,0,
sarima,42,1,"{""d"": 1, ""p"": 0, ""q"": 1, ""sd"": 0, ""seasonal_period"": 24, ""sp"": 1, ""sq"": 1}",ok,2930758.1032612184,1711.945706867253,1562.9182937381725,50.60789746950375,4.719553207978606,0.0,4.7196263750083745,0,0,
sarima,42,2,"{""d"": 0, ""p"": 2, ""q"": 0, ""sd"": 0, ""seasonal_period"": 24, ""sp"": 0, ""sq"": 1}",ok,9838249.504692055,3136.5983971002815,3066.359433881138,95.72165234061698,2.9080462499987334,0.0,2.9081102919299155,0,0,
sarima,42,3,"{""d"": 0, ""p"": 1, ""q"": 1, ""sd"": 0, ""seasonal_period"": 24, ""sp"": 0, ""sq"": 0}",ok,4394549.329040645,2096.3180410044283,1966.0122877095787,61.0419637226442,0.19034695799928159,0.0,0.19041375000961125,0,0,
lstm,42,0,"{""batch_size"": 128, ""dense_units"": 64, ""dropout"": 0.1, ""learning_rate"": 0.0007725378389307352, ""units"": 64}",ok,6847.8545599324625,82.75176469376628,67.90922012067283,2.181067538877291,15.70156416692771,0.2213317910209298,16.10080450004898,15,14,
lstm,42,1,"{""batch_size"": 128, ""dense_units"": 16, ""dropout"": 0.15000000000000002, ""learning_rate"": 0.0008012737503998541, ""units"": 32}",ok,7146.2477339753505,84.53548210056739,65.54583073011575,2.1671622061287805,8.503385458956473,0.17728279100265354,8.81633183406666,15,14,
lstm,42,2,"{""batch_size"": 64, ""dense_units"": 32, ""dropout"": 0.25, ""learning_rate"": 0.00012476394272569445, ""units"": 64}",ok,9084.523900205473,95.31276882037093,76.19934647861506,2.433294432206702,18.385273916996084,0.21598645893391222,18.743351791985333,15,15,
lstm,42,3,"{""batch_size"": 32, ""dense_units"": 64, ""dropout"": 0.05, ""learning_rate"": 0.00024112898115291975, ""units"": 96}",ok,10216.32335220661,101.0758297131743,80.94106499196026,2.6662300654806645,32.3032550830394,0.3205611670855433,32.78042004199233,15,15,
lstm,42,4,"{""batch_size"": 128, ""dense_units"": 64, ""dropout"": 0.35, ""learning_rate"": 0.00013511829476450826, ""units"": 96}",ok,14812.479813335578,121.70653151468733,100.1690871490873,3.302725397520538,22.695512000005692,0.3277119999984279,23.181753375101835,15,15,
gru,42,0,"{""batch_size"": 128, ""dense_units"": 64, ""dropout"": 0.1, ""learning_rate"": 0.0007725378389307352, ""units"": 64}",ok,4303.555759339186,65.60149205116592,50.96874283757404,1.6062637697327835,16.368478665943258,0.2204421249916777,16.776053291046992,15,13,
gru,42,1,"{""batch_size"": 128, ""dense_units"": 16, ""dropout"": 0.15000000000000002, ""learning_rate"": 0.0008012737503998541, ""units"": 32}",ok,8417.49684597026,91.74691736494616,72.18275259288338,2.292352822529752,6.251266458071768,0.18870270904153585,6.625337042030878,11,8,
gru,42,2,"{""batch_size"": 64, ""dense_units"": 32, ""dropout"": 0.25, ""learning_rate"": 0.00012476394272569445, ""units"": 64}",ok,9665.259871293172,98.31205354021027,79.10060226516737,2.621325807664448,17.16759670805186,0.21957691700663418,17.58329474995844,15,15,
gru,42,3,"{""batch_size"": 32, ""dense_units"": 64, ""dropout"": 0.05, ""learning_rate"": 0.00024112898115291975, ""units"": 96}",ok,6155.685504091849,78.45817678286852,65.2696548102797,2.0769672505964727,34.8735346669564,0.2763194169383496,35.35588499996811,15,15,
gru,42,4,"{""batch_size"": 128, ""dense_units"": 64, ""dropout"": 0.35, ""learning_rate"": 0.00013511829476450826, ""units"": 96}",ok,12995.306943568707,113.99696023828314,93.98498601609839,2.9800450967488192,26.133046749979258,0.4068757500499487,26.75560641696211,15,15,
bilstm,42,0,"{""batch_size"": 128, ""dense_units"": 64, ""dropout"": 0.1, ""learning_rate"": 0.0007725378389307352, ""units"": 64}",ok,5510.486041632187,74.23264808446609,55.807879542231625,1.734938495604034,26.791603666031733,0.3081396670313552,27.347900292021222,15,15,
bilstm,42,1,"{""batch_size"": 128, ""dense_units"": 16, ""dropout"": 0.15000000000000002, ""learning_rate"": 0.0008012737503998541, ""units"": 32}",ok,8781.029975228716,93.70715007526755,74.81744306342455,2.430390493496334,14.524198374943808,0.26237629097886384,15.043493542005308,15,13,
bilstm,42,2,"{""batch_size"": 64, ""dense_units"": 32, ""dropout"": 0.25, ""learning_rate"": 0.00012476394272569445, ""units"": 64}",ok,11888.627377761832,109.034982357782,88.44470523014716,2.928546524626214,34.87917070800904,0.33611649996601045,35.605111250071786,15,15,
bilstm,42,3,"{""batch_size"": 32, ""dense_units"": 64, ""dropout"": 0.05, ""learning_rate"": 0.00024112898115291975, ""units"": 96}",ok,6530.961777437882,80.8143661574963,63.704655529548035,2.1019087225516038,59.193357083015144,0.48977820796426386,60.011656916933134,14,11,
bilstm,42,4,"{""batch_size"": 128, ""dense_units"": 64, ""dropout"": 0.35, ""learning_rate"": 0.00013511829476450826, ""units"": 96}",ok,12071.07319351199,109.86843583810588,87.50796095511328,2.950001022359554,40.221711624995805,0.48103808402083814,41.10202937503345,15,15,
cnn_lstm,42,0,"{""batch_size"": 32, ""conv_filters"": 64, ""dense_units"": 16, ""dropout"": 0.05, ""learning_rate"": 0.00010725209743172001, ""lstm_units"": 32}",ok,10271.31840510554,101.34751306818308,76.0926062160346,2.3754075207174785,11.647003500023857,0.17474466597195715,12.160611291998066,15,15,
cnn_lstm,42,1,"{""batch_size"": 32, ""conv_filters"": 96, ""dense_units"": 64, ""dropout"": 0.25, ""learning_rate"": 0.000471705203762518, ""lstm_units"": 32}",ok,5134.09633179254,71.65260868797827,57.30355896513031,1.8507738527558468,7.707794000045396,0.20066233293619007,8.270045415963978,8,5,
cnn_lstm,42,2,"{""batch_size"": 128, ""conv_filters"": 96, ""dense_units"": 16, ""dropout"": 0.35, ""learning_rate"": 0.0010249322216924156, ""lstm_units"": 96}",ok,3507.387238126513,59.22319847936713,48.26959832437208,1.5442465241789476,16.26631091698073,0.23401891603134573,16.938467790954746,15,13,
cnn_lstm,42,3,"{""batch_size"": 128, ""conv_filters"": 64, ""dense_units"": 32, ""dropout"": 0.2, ""learning_rate"": 0.002442046084491142, ""lstm_units"": 32}",ok,5803.669666762608,76.18181979161832,62.10630295424931,1.9825835661863616,4.1393568749772385,0.17680095799732953,4.6795838749967515,8,5,
cnn_lstm,42,4,"{""batch_size"": 128, ""conv_filters"": 64, ""dense_units"": 64, ""dropout"": 0.3, ""learning_rate"": 0.00016149614799999194, ""lstm_units"": 64}",ok,17026.83699934357,130.48692271390098,107.42120539502099,3.453938211066867,9.04702687507961,0.20077374996617436,9.642862749984488,13,10,
cnn_bilstm,42,0,"{""batch_size"": 32, ""bilstm_units"": 32, ""conv_filters"": 64, ""dense_units"": 16, ""dropout"": 0.05, ""learning_rate"": 0.00010725209743172001}",ok,7668.59354530742,87.57050613823938,69.59181439429848,2.2203227867629303,20.25510866602417,0.2770834160037339,20.95546708290931,15,15,
cnn_bilstm,42,1,"{""batch_size"": 32, ""bilstm_units"": 32, ""conv_filters"": 96, ""dense_units"": 64, ""dropout"": 0.25, ""learning_rate"": 0.000471705203762518}",ok,6089.580232245193,78.0357625210723,65.95187633547995,2.156704826094444,19.506805542041548,0.2692447080044076,20.206514750025235,13,10,
cnn_bilstm,42,2,"{""batch_size"": 128, ""bilstm_units"": 96, ""conv_filters"": 96, ""dense_units"": 16, ""dropout"": 0.35, ""learning_rate"": 0.0010249322216924156}",ok,3137.1163067356756,56.00996613760515,44.55040925608583,1.4495111226494768,28.796881249989383,0.3798789590364322,29.717124375049025,15,13,
cnn_bilstm,42,3,"{""batch_size"": 128, ""bilstm_units"": 32, ""conv_filters"": 64, ""dense_units"": 32, ""dropout"": 0.2, ""learning_rate"": 0.002442046084491142}",ok,4156.076507773088,64.46763922909764,53.49491064230339,1.753182228910606,10.570052166003734,0.2605525000253692,11.281978499959223,14,11,
cnn_bilstm,42,4,"{""batch_size"": 128, ""bilstm_units"": 64, ""conv_filters"": 64, ""dense_units"": 64, ""dropout"": 0.3, ""learning_rate"": 0.00016149614799999194}",ok,8087.754018549166,89.931941036259,73.69852658229229,2.384036263011852,17.508370083058253,0.28216891700867563,18.314839874976315,15,14,
